#      密度kg/m3                 弹模GPa                 转速r/min         
7.920963364154434203e+03 1.636866158238170215e+02 1.790771258587971897e+04
7.971620555298291038e+03 1.676836934171798248e+02 1.804298531315244691e+04
8.068974635804336685e+03 1.617470814208490708e+02 1.817825804042517484e+04
8.428538272167974355e+03 1.632912569171051871e+02 1.831353076769790277e+04
8.322355464837954059e+03 1.623481829106414125e+02 1.844880349497062707e+04
8.351436080230178050e+03 1.618531639587479560e+02 1.858407622224335501e+04
8.262428192110681266e+03 1.613063678970790420e+02 1.871934894951608294e+04
8.344340460678127783e+03 1.671116153672130906e+02 1.885462167678881087e+04
8.160672455063525376e+03 1.615746025080889297e+02 1.898989440406153881e+04
8.472654686139481782e+03 1.695552517308494487e+02 1.912516713133426674e+04
8.088366048847821730e+03 1.617192704795384941e+02 1.926043985860699104e+04
7.962791828474316389e+03 1.688262786513393223e+02 1.809582494812326695e+04
8.022719101201589183e+03 1.733445465470050522e+02 1.823109767539599488e+04
7.933309231594025732e+03 1.629410886613566731e+02 1.836637040266872282e+04
8.127245792959464779e+03 1.661302521874533795e+02 1.850164312994145075e+04
8.067318520232191986e+03 1.642968003223843141e+02 1.863691585721417505e+04
8.113091049775844112e+03 1.725709661444525409e+02 1.877218858448690298e+04
8.477857782045950444e+03 1.732207062763039858e+02 1.890746131175963092e+04
8.562064555747045233e+03 1.657348932807415736e+02 1.904273403903235885e+04
8.471290625684723636e+03 1.620694387352870081e+02 1.917800676630508678e+04
8.502137283019772440e+03 1.681447641812565337e+02 1.931327949357781108e+04
8.555990485326945418e+03 1.624647976419988424e+02 1.796055222085053902e+04
8.128901908531609479e+03 1.641907177844854289e+02 1.825771947919532613e+04
8.028438776120548937e+03 1.649084340056352005e+02 1.839299220646805406e+04
8.178221418409586477e+03 1.658897971853949116e+02 1.852826493374078200e+04
8.173018322503116906e+03 1.676044604695211433e+02 1.866353766101350629e+04
8.196426848963308657e+03 1.634461608217585535e+02 1.879881038828623423e+04
8.268147867029640111e+03 1.718439841898324687e+02 1.893408311555896216e+04
8.292872867957663402e+03 1.637500042607154001e+02 1.906935584283169010e+04
8.238148691136859270e+03 1.696790920015505151e+02 1.920462857010441803e+04
8.202500919383408473e+03 1.684572738197323076e+02 1.933990129737714597e+04
8.496063212599672624e+03 1.657011278176201756e+02 1.798717402464987026e+04
8.391111464389201501e+03 1.701273297808161828e+02 1.812244675192259820e+04
7.947463974777646399e+03 1.666343541481218153e+02 1.834548200837937475e+04
8.007391247504919193e+03 1.646679790035767326e+02 1.848075473565210268e+04
8.104631369769036610e+03 1.713491479626343619e+02 1.861602746292483062e+04
7.968511503393276143e+03 1.702998086935763524e+02 1.875130019019755855e+04
8.232945595230390609e+03 1.660136374560959496e+02 1.888657291747028285e+04
8.208220594302367317e+03 1.702719977522657757e+02 1.902184564474301078e+04
8.307027611141284069e+03 1.649718224425335791e+02 1.915711837201573871e+04
8.447929685211458491e+03 1.640182388717252877e+02 1.929239109928846665e+04
8.211329646207383121e+03 1.627964206899071087e+02 1.793966382656119458e+04
8.486809429323102449e+03 1.614953695604302197e+02 1.807493655383391888e+04
8.546736702050375243e+03 1.707770699126676277e+02 1.821020928110664681e+04
7.993236504321298526e+03 1.742538550903474288e+02 1.851535401705477852e+04
8.247100338414011276e+03 1.625281860788972210e+02 1.865062674432750646e+04
8.520236091427163046e+03 1.651608241058847568e+02 1.878589947160023439e+04
8.142573646656134770e+03 1.644793096358019682e+02 1.892117219887296233e+04
8.366954883868556863e+03 1.672354556379141286e+02 1.905644492614569026e+04
8.187173065686737573e+03 1.667404366860207006e+02 1.919171765341841456e+04
