#      密度kg/m3                 弹模GPa                 转速r/min         
7.936282150652959899e+03 1.612956663553677004e+02 1.785773448934428234e+04
7.911168397429939432e+03 1.697910482792306084e+02 1.794526390110898501e+04
8.022206311612521858e+03 1.618451011680437261e+02 1.803279331287369132e+04
8.558540396225338554e+03 1.615481576148305010e+02 1.812032272463839763e+04
8.066274279782880512e+03 1.615809811472412889e+02 1.820785213640310394e+04
8.105050750371116010e+03 1.698842520414432045e+02 1.829538154816781025e+04
8.143827220959350598e+03 1.630570367633571891e+02 1.838291095993251656e+04
8.492815456253469165e+03 1.618076943337011357e+02 1.847044037169722287e+04
8.430535807968342851e+03 1.617824603927220721e+02 1.855796978346192918e+04
8.260156632724056180e+03 1.618851659262894316e+02 1.864549919522663185e+04
8.403434513872396565e+03 1.616870238130734094e+02 1.873302860699133817e+04
8.012597427105220049e+03 1.626356894033378353e+02 1.882055801875604448e+04
8.376486044488763582e+03 1.700812408945439529e+02 1.890808743052075079e+04
8.415262515076998170e+03 1.646071979837153947e+02 1.899561684228545710e+04
8.477915074164044199e+03 1.627577666721645073e+02 1.908314625405016341e+04
8.486975054424652626e+03 1.613402621542445274e+02 1.917067566581486972e+04
8.177312193965463848e+03 1.616070635890747269e+02 1.925820507757957603e+04
8.293641605730170340e+03 1.713321599915731213e+02 1.802933008285457981e+04
7.975058621241195397e+03 1.628455620386865235e+02 1.811685949461928612e+04
8.228697021554220555e+03 1.619783696885020277e+02 1.820438890638399243e+04
8.289070183107362027e+03 1.622664485280630799e+02 1.829191831814869875e+04
8.113888833967463142e+03 1.614448450425389296e+02 1.837944772991340506e+04
8.181069443410087842e+03 1.624776120483675186e+02 1.846697714167811137e+04
8.245256250634633034e+03 1.614758602927689708e+02 1.855450655344281768e+04
8.219845913998322430e+03 1.627689579237961368e+02 1.864203596520752035e+04
8.497185792894859333e+03 1.625982825689952449e+02 1.872956537697222666e+04
8.297398855174793425e+03 1.626757541615835407e+02 1.881709478873693297e+04
8.332418076318404928e+03 1.622354332778330388e+02 1.890462420050163928e+04
7.963938879238640766e+03 1.623387458501246101e+02 1.899215361226634559e+04
8.112367609789514063e+03 1.623715693825353981e+02 1.907968302403105190e+04
8.370645642659945224e+03 1.625053384786891115e+02 1.916721243579575821e+04
8.454038985665232758e+03 1.617147502433950024e+02 1.925474184756046452e+04
8.201798843044580281e+03 1.619671784368703982e+02 1.934227125932517083e+04
8.538908786260102715e+03 1.623976518243688361e+02 1.794180067108987350e+04
8.390480055709229418e+03 1.632959267139832207e+02 1.809362359570568151e+04
7.930363548926933618e+03 1.729534012204070734e+02 1.818115300747038782e+04
8.015669807990043410e+03 1.686962752648883281e+02 1.826868241923509413e+04
8.374951796351264420e+03 1.652932033307151016e+02 1.835621183099980044e+04
8.064740031645381350e+03 1.629659467768968852e+02 1.844374124276450311e+04
8.456226303419669421e+03 1.632682002836616277e+02 1.853127065452920942e+04
8.170775690342984490e+03 1.639527458531236448e+02 1.861880006629391573e+04
7.948410619880675767e+03 1.631882400596629452e+02 1.870632947805862204e+04
8.319488170201249886e+03 1.638166097484212855e+02 1.879385888982332835e+04
8.378673362243198426e+03 1.634663423968776783e+02 1.888138830158803466e+04
8.194987786654572119e+03 1.630260215131271480e+02 1.896891771335274098e+04
8.401599797711784049e+03 1.636674310612500562e+02 1.905644712511744729e+04
8.298933103312292587e+03 1.716624173651321712e+02 1.914397653688215360e+04
8.051373897693455547e+03 1.628768428259559187e+02 1.923150594864685627e+04
8.552146993730662871e+03 1.636361502739806610e+02 1.931903536041156258e+04
8.519763925637102147e+03 1.629214386248327742e+02 1.791856477217626889e+04
8.027497809194645015e+03 1.696206325963361792e+02 1.800609418394097520e+04
7.940081947813243460e+03 1.635595461590902744e+02 1.814027276770782555e+04
7.957261727436572073e+03 1.724530056004263088e+02 1.822780217947252822e+04
8.440376268300018637e+03 1.642168658739260820e+02 1.831533159123723453e+04
8.036335892790993057e+03 1.643501343943843835e+02 1.840286100300194084e+04
8.075112363379228555e+03 1.665259898044867839e+02 1.849039041476664715e+04
8.103516502233616848e+03 1.640587885189557653e+02 1.857791982653135346e+04
8.176763289718769556e+03 1.689603952856907938e+02 1.866544923829605978e+04
8.191441775143934137e+03 1.718586282060647932e+02 1.875297865006076609e+04
8.156211316066336622e+03 1.722448254956939309e+02 1.884050806182547240e+04
8.001105433713395541e+03 1.633888708042893541e+02 1.892803747359017871e+04
8.206479780046396627e+03 1.707514443916277003e+02 1.901556688535488138e+04
8.272540727831043114e+03 1.641794590395834916e+02 1.910309629711958769e+04
8.385324128085110715e+03 1.715420326269218378e+02 1.919062570888429400e+04
8.424100598673347122e+03 1.743364355777792980e+02 1.927815512064900031e+04
7.988721338606409518e+03 1.641542250986044280e+02 1.787768453241370662e+04
8.275429925615400862e+03 1.637120268601268833e+02 1.796521394417841293e+04
8.186974028188976263e+03 1.639788282949570544e+02 1.805274335594311924e+04
8.530057678704204591e+03 1.644580192965441654e+02 1.821771721668585087e+04
8.086829346671838721e+03 1.625730486280162097e+02 1.830524662845055718e+04
8.131999219754749902e+03 1.650074541092201912e+02 1.839277604021526349e+04
8.048052876083603223e+03 1.658381071027600342e+02 1.848030545197996980e+04
8.091388033005900979e+03 1.727552591071910513e+02 1.856783486374467611e+04
8.119044761591581846e+03 1.646382132339454358e+02 1.865536427550938242e+04
8.148197557600740765e+03 1.647694165302511919e+02 1.874289368727408873e+04
8.157821232179817343e+03 1.665886305798084379e+02 1.883042309903879504e+04
8.080268291003346349e+03 1.657606355101717099e+02 1.891795251080350135e+04
8.264526969365446348e+03 1.649700472748776008e+02 1.900548192256820403e+04
8.311317198419277702e+03 1.631621576178295072e+02 1.909301133433291034e+04
7.990908656360844361e+03 1.651407226296784927e+02 1.918054074609761665e+04
8.380856381130151931e+03 1.656399649895439836e+02 1.926807015786232296e+04
8.346547657496876127e+03 1.621308503895386366e+02 1.786759956962702927e+04
8.216088664553699346e+03 1.649448133338985656e+02 1.795512898139173558e+04
8.093222749166514404e+03 1.681071662750750306e+02 1.804265839315644189e+04
8.545585938062171408e+03 1.733346838221807218e+02 1.813018780492114820e+04
7.976893337401807912e+03 1.741975693795363895e+02 1.833871040955665740e+04
7.969140019515168206e+03 1.664582796551597141e+02 1.842623982132136371e+04
8.318128254809285863e+03 1.727829855375126442e+02 1.851376923308606638e+04
8.039881904301630129e+03 1.654288014692395450e+02 1.860129864485077269e+04
8.085469431279874698e+03 1.718847106478982312e+02 1.868882805661547900e+04
8.124245901868110195e+03 1.653977862190095038e+02 1.877635746838018531e+04
8.138535723377228351e+03 1.659201196133409724e+02 1.886388688014489162e+04
8.479152738888255044e+03 1.651295313780468632e+02 1.895141629190959793e+04
8.070644616424269771e+03 1.638476249986513267e+02 1.903894570367430424e+04
8.009276405495367726e+03 1.703834944013086954e+02 1.912647511543901055e+04
8.356904725397522270e+03 1.694868635001824657e+02 1.921400452720371322e+04
8.099759252788992853e+03 1.665512237454658475e+02 1.930153393896841953e+04
8.371194546906639516e+03 1.655339223237118631e+02 1.790106335073312584e+04
8.207717444770607472e+03 1.656676914198655766e+02 1.798859276249783215e+04
8.248328631519456394e+03 1.652486075318382746e+02 1.807612217426253846e+04
8.512010607750462441e+03 1.660079149798630169e+02 1.816365158602724478e+04
8.543976021948690686e+03 1.655600047655453011e+02 1.825118099779195109e+04
7.944104466189357481e+03 1.715733134141912331e+02 1.845725694038459915e+04
7.982880936777592069e+03 1.667985032151571261e+02 1.854478635214930546e+04
8.099210348542298561e+03 1.621753585416027761e+02 1.863231576391401177e+04
8.303303439953682755e+03 1.648493767542498745e+02 1.871984517567871808e+04
8.254865135141933933e+03 1.667107078486351099e+02 1.880737458744342439e+04
8.405399594872067610e+03 1.663505930008394103e+02 1.889490399920813070e+04
8.056411359577949042e+03 1.739896739189504160e+02 1.898243341097283701e+04
8.448747488083110511e+03 1.682918843192233282e+02 1.906996282273754332e+04
8.254316230895239642e+03 1.740341820710145271e+02 1.915749223450224599e+04
8.034814668613043068e+03 1.701723308810042568e+02 1.924502164626695230e+04
8.211517241930891032e+03 1.661883744543036130e+02 1.933255105803165861e+04
8.362823327123547642e+03 1.718258046736540336e+02 1.793208046979636492e+04
8.417449832831433014e+03 1.663245105590059723e+02 1.801960988156107123e+04
8.400362132987573204e+03 1.671150987943001098e+02 1.810713929332577754e+04
8.146014538713786351e+03 1.690936638061490953e+02 1.819466870509048385e+04
8.413728266939499008e+03 1.722560167473255603e+02 1.828219811685519016e+04
8.564527995601121802e+03 1.664305532248381212e+02 1.836972752861989284e+04
7.923552492536924547e+03 1.709629191162983659e+02 1.849839476113774799e+04
8.361585662399338617e+03 1.705041649219364217e+02 1.858592417290245430e+04
7.993091675247799685e+03 1.673792188151025471e+02 1.867345358466716061e+04
8.046692960691639200e+03 1.670099779398277917e+02 1.876098299643186328e+04
8.469312278556577439e+03 1.669188879533674594e+02 1.884851240819656960e+04
7.931723464318896731e+03 1.620862545906618095e+02 1.893604181996127591e+04
8.230218245732168725e+03 1.675012960839292191e+02 1.902357123172598222e+04
8.225750498777211760e+03 1.670822752618893219e+02 1.911110064349068853e+04
8.233764257242806707e+03 1.673418119807599567e+02 1.919863005525539484e+04
8.287105102107690982e+03 1.678728634971834595e+02 1.928615946702010115e+04
8.262343950478492843e+03 1.666286953380541433e+02 1.788568887878480746e+04
8.120324043262459782e+03 1.714654285120314512e+02 1.797321829054951013e+04
8.444176065460302198e+03 1.698730607898115750e+02 1.806074770231421644e+04
8.358264640789486293e+03 1.672488678904538233e+02 1.814827711407892275e+04
8.007916490103403703e+03 1.635483549074586449e+02 1.823580652584362906e+04
8.505199551360454279e+03 1.668297840024265213e+02 1.832333593760833537e+04
8.550787078338698848e+03 1.671411812361335478e+02 1.841086534937304168e+04
8.184791009302021848e+03 1.680117296954263395e+02 1.861465859534884294e+04
8.279351784221051275e+03 1.704112208316302883e+02 1.870218800711354925e+04
7.944653370436051773e+03 1.681698070503966562e+02 1.878971741887825556e+04
8.337709573900527175e+03 1.660391957671324121e+02 1.887724683064296187e+04
8.351703585120994831e+03 1.677094761886615970e+02 1.896477624240766818e+04
8.130164503594136477e+03 1.726163929089481428e+02 1.905230565417237085e+04
8.506809467473935001e+03 1.657980423445143003e+02 1.913983506593707716e+04
8.434457666573993265e+03 1.643389431427527541e+02 1.922736447770178347e+04
8.409971017494875923e+03 1.681324002160540658e+02 1.931489388946648978e+04
8.285270385947078466e+03 1.682098718086423617e+02 1.791442330123119609e+04
8.324046856535313054e+03 1.677695509248918597e+02 1.800195271299590240e+04
8.452504737527735415e+03 1.683030755708549577e+02 1.808948212476060871e+04
8.215539760307005054e+03 1.662916870265952127e+02 1.817701153652531502e+04
8.327846653695596615e+03 1.680394561257479324e+02 1.826454094829002133e+04
8.480987455048867560e+03 1.730354137309880400e+02 1.835207036005472401e+04
8.517929209476489632e+03 1.692461445071857042e+02 1.843959977181943032e+04
8.133964300754420037e+03 1.637565350121909944e+02 1.852712918358413663e+04
7.920006481026286565e+03 1.684109604730147680e+02 1.871076521915011108e+04
7.978858418401478957e+03 1.613847703063086385e+02 1.879829463091481739e+04
8.017634888989713545e+03 1.719923973022185351e+02 1.888582404267952370e+04
8.125605817260073309e+03 1.688977545103691398e+02 1.897335345444423001e+04
8.095187830166184540e+03 1.685000644239557062e+02 1.906088286620893632e+04
8.331869172071710636e+03 1.672211414601322303e+02 1.914841227797364263e+04
8.241935229024778891e+03 1.690824725545174658e+02 1.923594168973834530e+04
8.556705680064726039e+03 1.686634517324775686e+02 1.932347110150305161e+04
8.448198583836416219e+03 1.689229884513481750e+02 1.792300051326775792e+04
8.142292972821852345e+03 1.659313108649726303e+02 1.801052992503246423e+04
8.258622384586558837e+03 1.685601391601859689e+02 1.809805933679717054e+04
8.397041111377720881e+03 1.724084974483621693e+02 1.818558874856187686e+04
8.419632851718388338e+03 1.691702679210394820e+02 1.827311816032658317e+04
8.388870139595748697e+03 1.688300443610420416e+02 1.836064757209128948e+04
8.312927114532758424e+03 1.660837915660092392e+02 1.844817698385599215e+04
8.521729006636773192e+03 1.695129459420159037e+02 1.853570639562069846e+04
8.560505477225007780e+03 1.639199223207128568e+02 1.862323580738540477e+04
7.938116866813572415e+03 1.692906526592498153e+02 1.874954481878529623e+04
7.958782951614522062e+03 1.687223577067217661e+02 1.883707423055000254e+04
8.090150368281691044e+03 1.733036685719506806e+02 1.892460364231470885e+04
8.293092701483476048e+03 1.694540399677716778e+02 1.901213305407941516e+04
8.073591139201278565e+03 1.692015487083088772e+02 1.909966246584412147e+04
8.168940974182371974e+03 1.693817426457101476e+02 1.918719187760882414e+04
8.151144080377748651e+03 1.697135766866423126e+02 1.927472128937353045e+04
8.164382287848308806e+03 1.742303929119471491e+02 1.787425070113823676e+04
8.458409322306622926e+03 1.640865149492773583e+02 1.796178011290294307e+04
8.435817581965955469e+03 1.701413156307742156e+02 1.804930952466764938e+04
8.306249962730689731e+03 1.747043855680983029e+02 1.813683893643235569e+04
8.345026433318926138e+03 1.705816365145247175e+02 1.822436834819706201e+04
8.383802903907160726e+03 1.653377114827792411e+02 1.831189775996176832e+04
8.422579374495397133e+03 1.631293340854187477e+02 1.839942717172647099e+04
8.466423080772219691e+03 1.696883427456632489e+02 1.848695658349117730e+04
8.500132315671866309e+03 1.676649680365974575e+02 1.857448599525588361e+04
8.568834149292440998e+03 1.684555562718915951e+02 1.866201540702058992e+04
8.041491820415110851e+03 1.699921369436029863e+02 1.889614303063877378e+04
7.983429841024287271e+03 1.711740826366028045e+02 1.898367244240348009e+04
8.342079910541917343e+03 1.714542372603997933e+02 1.907120185416818640e+04
8.280711699613015298e+03 1.633636368633103189e+02 1.915873126593289271e+04
8.117434845478101124e+03 1.723639016494853422e+02 1.924626067769759902e+04
7.970499934907132229e+03 1.662193897045336541e+02 1.933379008946230533e+04
8.531591926841703753e+03 1.739450781200735889e+02 1.793331950122701164e+04
8.240575313632816687e+03 1.634262776386319729e+02 1.802084891299171795e+04
8.029685126949079859e+03 1.706748402767373136e+02 1.810837832475642062e+04
8.307771186908639720e+03 1.647105105560069660e+02 1.819590773652112694e+04
8.364658043284161977e+03 1.620549738033924143e+02 1.828343714828583325e+04
8.197876984438929867e+03 1.700367327424798134e+02 1.837096656005053956e+04
8.246493915358842060e+03 1.685911544104160100e+02 1.845849597181524587e+04
8.189920550965984148e+03 1.679317694714276570e+02 1.854602538357995218e+04
8.395681195985756858e+03 1.704789309809573865e+02 1.863355479534465849e+04
8.128926838869926542e+03 1.695929061660145862e+02 1.872108420710936480e+04
8.565076899847816094e+03 1.708273209777739226e+02 1.880861361887406747e+04
8.060982782200757356e+03 1.707827251788970955e+02 1.893967585390675595e+04
8.054446278578278907e+03 1.676203722377206304e+02 1.902720526567146226e+04
7.913355715184374276e+03 1.642569306321717875e+02 1.911473467743616493e+04
8.021657407365827567e+03 1.668743798013033484e+02 1.920226408920087124e+04
8.325881572695925570e+03 1.708718291298380620e+02 1.928979350096557755e+04
8.336175325763028013e+03 1.710941224126041220e+02 1.788932291273028386e+04
8.109421087012505268e+03 1.705415717562790121e+02 1.797685232449499017e+04
8.196597702768052841e+03 1.710352164383599245e+02 1.806438173625969648e+04
8.235374173356287429e+03 1.712947531572305309e+02 1.815191114802440279e+04
8.474594052554191876e+03 1.741252720574748309e+02 1.823944055978910910e+04
8.284032721222867622e+03 1.709319038660683248e+02 1.832696997155381541e+04
7.997559422202757560e+03 1.690004600439364992e+02 1.841449938331851808e+04
7.949944868018174020e+03 1.710680399707706840e+02 1.850202879508322440e+04
8.487523958671346918e+03 1.712018090669243975e+02 1.858955820684793071e+04
8.540430010438052705e+03 1.712695192162514957e+02 1.867708761861263702e+04
8.535962263483093921e+03 1.703035341773100129e+02 1.876461703037734333e+04
8.516691544752278787e+03 1.645471232474851320e+02 1.885214644214204964e+04
7.926441690321283204e+03 1.655010987913011036e+02 1.904201541560276382e+04
8.163022372456344783e+03 1.647433340884177539e+02 1.912954482736747013e+04
8.152665304555698640e+03 1.721227482268672588e+02 1.921707423913217644e+04
8.513370523142426464e+03 1.717535073515924751e+02 1.930460365089688275e+04
8.078658374889865627e+03 1.669789626895977506e+02 1.790413306266158907e+04
8.501653539849816298e+03 1.719646708718969421e+02 1.799166247442629538e+04
8.461355845083631721e+03 1.728506956868397424e+02 1.807919188619100169e+04
8.491281208115970003e+03 1.648771031845714674e+02 1.816672129795570800e+04
8.172740771342655535e+03 1.720853413925246684e+02 1.825425070972041067e+04
7.915538734071328690e+03 1.683796796857453728e+02 1.834178012148511698e+04
8.473234137162227853e+03 1.717224921013624339e+02 1.842930953324982329e+04
8.427646610183983285e+03 1.657354015691926747e+02 1.851683894501452960e+04
8.366623124283831203e+03 1.736412839221338515e+02 1.860436835677923591e+04
8.482952536048538605e+03 1.675890914504512352e+02 1.869189776854394222e+04
8.391759337380106444e+03 1.734658871184864779e+02 1.877942718030864853e+04
8.268994716320405132e+03 1.716179092130680601e+02 1.886695659207335484e+04
8.533779244596138597e+03 1.667218991002667394e+02 1.895448600383805751e+04
7.935044485928749054e+03 1.723326208622159470e+02 1.913704130818582780e+04
7.973820956516984552e+03 1.731232090975100562e+02 1.922457071995053411e+04
8.031868145836034273e+03 1.729133364621613680e+02 1.931210013171524042e+04
8.495002774007904009e+03 1.725440955868866126e+02 1.791162954347994310e+04
7.996038198024807571e+03 1.644267385092747702e+02 1.799915895524464941e+04
7.954315204659564188e+03 1.661282997180733503e+02 1.808668836700935572e+04
8.167703309458161129e+03 1.702446282030657869e+02 1.817421777877406203e+04
8.052611562417665482e+03 1.652173267445688793e+02 1.826174719053876834e+04
8.209552160931219987e+03 1.728759296278187776e+02 1.834927660230347465e+04
8.267473492142455143e+03 1.734069811442422804e+02 1.843680601406818096e+04
8.322809191811102210e+03 1.725130803366565715e+02 1.852433542583288727e+04
7.962328963125160044e+03 1.738371932179138071e+02 1.861186483759759358e+04
8.250293712519125620e+03 1.726492164413589308e+02 1.869939424936229625e+04
8.439138603575809611e+03 1.674192835733482525e+02 1.878692366112700256e+04
8.203158758436544304e+03 1.734398046766530399e+02 1.887445307289170887e+04
8.555468015340515194e+03 1.720601074515456048e+02 1.896198248465641518e+04
8.468032996885700413e+03 1.735735737728067534e+02 1.904951189642112149e+04
8.002715349826876263e+03 1.731544898847794514e+02 1.917561305783337593e+04
7.952132185772609773e+03 1.645026150954209925e+02 1.926314246959808224e+04
8.137986819130534059e+03 1.737039246974554771e+02 1.786267188136278855e+04
8.159100513850695279e+03 1.675124873355608486e+02 1.795020129312749123e+04
8.068461597537315356e+03 1.732435938357204179e+02 1.803773070489219754e+04
8.107238068125550853e+03 1.735458473424851604e+02 1.812526011665690385e+04
8.274150643944523836e+03 1.738260019662821492e+02 1.821278952842161016e+04
7.925162408650405268e+03 1.673165780397808931e+02 1.830031894018631647e+04
8.223567479890256436e+03 1.739137973328041937e+02 1.838784835195102278e+04
8.060433877954063064e+03 1.737439894557011826e+02 1.847537776371572909e+04
8.301120421066727431e+03 1.697509835209849030e+02 1.856290717548043540e+04
8.339896891654962019e+03 1.650475188674658966e+02 1.865043658724513807e+04
8.462877069261581710e+03 1.730466049826196695e+02 1.873796599900984438e+04
8.409422113248181631e+03 1.726752988831923687e+02 1.882549541077455069e+04
8.429256526297464006e+03 1.699608561563335911e+02 1.891302482253925700e+04
8.350093669007514109e+03 1.731990856836562784e+02 1.900055423430396331e+04
8.525751525012887214e+03 1.736665178631128867e+02 1.908808364606866962e+04
7.918485256848337485e+03 1.745345776909953202e+02 1.929268119988285252e+04
7.965218160909518701e+03 1.679056870295942190e+02 1.789221061164755884e+04
8.003994631497754199e+03 1.744945129327496147e+02 1.797974002341226515e+04
8.042771102085988787e+03 1.721628129851129643e+02 1.806726943517696782e+04
8.081547572674224284e+03 1.713722247498188551e+02 1.815479884694167413e+04
8.013835091829429985e+03 1.678005661751219009e+02 1.824232825870638044e+04
8.221380162135821593e+03 1.693507273954801065e+02 1.832985767047108675e+04
8.025963561057145853e+03 1.746165902015762867e+02 1.841738708223579306e+04
8.352982866791871857e+03 1.744571060984069959e+02 1.850491649400049937e+04
7.987187090468910355e+03 1.706636490251056841e+02 1.859244590576520568e+04
8.314206396203637269e+03 1.740942568072447898e+02 1.867997531752991199e+04
8.236653455027166274e+03 1.746277814532079162e+02 1.876750472929461830e+04
8.182603691547586095e+03 1.744318721574279607e+02 1.885503414105932097e+04
8.442210984460632972e+03 1.743641620081008625e+02 1.894256355282402728e+04
8.526300429259581506e+03 1.688023179307204487e+02 1.903009296458873359e+04
8.508088749144813846e+03 1.702774517354765749e+02 1.911762237635343990e+04
8.546865219733048434e+03 1.742564753537805871e+02 1.920515178811814621e+04
