#      密度kg/m3                 弹模GPa                 转速r/min         
7.979829917769196072e+03 1.620465836757147144e+02 1.794087176409698804e+04
8.450687060626340099e+03 1.626955614302457604e+02 1.815344319266841558e+04
8.074001346340624877e+03 1.641265416594762883e+02 1.836601462123984311e+04
8.026866521311186261e+03 1.674945601432377771e+02 1.857858604981127428e+04
8.262344203483482488e+03 1.614162616047942436e+02 1.879115747838270181e+04
8.418856246951721914e+03 1.652562616047942470e+02 1.900372890695412934e+04
8.513027675523151629e+03 1.622065416594763008e+02 1.921630033552556051e+04
7.955844662345742108e+03 1.665355614302457354e+02 1.811889773014418097e+04
7.917083307282764508e+03 1.690962616047942504e+02 1.833146915871561214e+04
8.168172774912052773e+03 1.617345601432377862e+02 1.854404058728703967e+04
8.215209378454042962e+03 1.698865416594762792e+02 1.875661201585846720e+04
8.293769021568479729e+03 1.729362616047942538e+02 1.896918344442989837e+04
8.435445352800948967e+03 1.668048021202779978e+02 1.918175487300132590e+04
8.544858489197767994e+03 1.639665836757147304e+02 1.790632630157275344e+04
8.011254735854193314e+03 1.658865836757147179e+02 1.843786572977720789e+04
8.121037949882615067e+03 1.655745601432377896e+02 1.865043715834863542e+04
8.199597592997050015e+03 1.678065836757147338e+02 1.886300858692006295e+04
8.247102495658091357e+03 1.662248081639028499e+02 1.907558001549149412e+04
8.356515632054910384e+03 1.633362616047942311e+02 1.928815144406292166e+04
8.341273924229521072e+03 1.671762616047942345e+02 1.801272287263434919e+04
8.497723664168330288e+03 1.660465416594763042e+02 1.822529430120578036e+04
7.964588209943805850e+03 1.719848081639028408e+02 1.861603233243209979e+04
8.050016090917170004e+03 1.623848081639028464e+02 1.882860376100352732e+04
8.152931067086663461e+03 1.679665416594762917e+02 1.904117518957495849e+04
8.324684818380294018e+03 1.718065416594762951e+02 1.925374661814638603e+04
8.403552235596900573e+03 1.697265836757147213e+02 1.797831804671781356e+04
8.230513389808864304e+03 1.648848021202780103e+02 1.819088947528924473e+04
8.529616781372376863e+03 1.722955614302457548e+02 1.840346090386067226e+04
7.993035532566015718e+03 1.700648081639028533e+02 1.889281737760220858e+04
8.136341961237436408e+03 1.646155614302457479e+02 1.910538880617363611e+04
8.105426164425622119e+03 1.694145601432377930e+02 1.931796023474506364e+04
8.275549818280302134e+03 1.684555614302457514e+02 1.804253166331649118e+04
8.181378389708873328e+03 1.742155614302457423e+02 1.825510309188792235e+04
8.482111878711337340e+03 1.681448081639028374e+02 1.846767452045934988e+04
8.558064103994587640e+03 1.687248021202780137e+02 1.868024594903077741e+04
7.932695092739757456e+03 1.636545601432377737e+02 1.893394324910221985e+04
8.042170532666007603e+03 1.713345601432377805e+02 1.914651467767364738e+04
8.144187519488598809e+03 1.716465836757147372e+02 1.787108610624507492e+04
8.369721246851730029e+03 1.725648021202779887e+02 1.808365753481650609e+04
8.309380807025472677e+03 1.629648021202779944e+02 1.829622896338793362e+04
8.426701805202885225e+03 1.710162616047942379e+02 1.850880039195936115e+04
8.387940450139907625e+03 1.744848021202780046e+02 1.872137182053079232e+04
7.947999104094578797e+03 1.735665836757147247e+02 1.923400996944201688e+04
8.058759638515234656e+03 1.732545601432377680e+02 1.795858139801344805e+04
8.087206961137444523e+03 1.706448021202780012e+02 1.817115282658487558e+04
8.238358948060027615e+03 1.739048081639028283e+02 1.838372425515630312e+04
8.332530376631457329e+03 1.643048081639028339e+02 1.859629568372773065e+04
8.463892675423159744e+03 1.703755614302457388e+02 1.880886711229916182e+04
8.520873233774313121e+03 1.737265416594762826e+02 1.902143854087058935e+04
